"","column_label","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","source"
"R-HSA-1169408","MEturquoise","R-HSA-1169408","ISG15 antiviral mechanism","17/702","70/9232",1.34186073842341e-05,0.000510036112838323,0.00039871854261582,"9775/7314/25820/7706/1974/1982/5903/3840/1977/7334/3838/3434/9818/4928/3716/1981/7175",17,"Reactome"
"R-HSA-9006934...48","MEturquoise","R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","64/702","494/9232",1.37954126347305e-05,0.000510036112838323,0.00039871854261582,"23237/8061/2260/2321/5516/3643/7525/3791/3320/9564/4609/5155/200734/3727/1958/10000/7424/7314/6464/8874/11140/1398/10458/1495/6196/10413/1500/9475/5899/5515/10253/5519/581/3398/673/9261/5782/1785/5829/51382/6722/5725/10608/1386/5770/6016/5879/5290/6774/3178/5898/1848/5781/4670/10221/5604/1846/3925/5908/1839/7057/102/639/2534",64,"Reactome"
"R-HSA-354192","MEturquoise","R-HSA-354192","Integrin signaling","10/702","27/9232",1.55392358054399e-05,0.000547225215128876,0.000427790963750793,"10411/9564/7450/6464/1398/2243/5770/2244/5908/2266",10,"Reactome"
"R-HSA-72163...50","MEturquoise","R-HSA-72163","mRNA Splicing - Major Pathway","31/702","182/9232",1.60073529696228e-05,0.000547225215128876,0.000427790963750793,"9775/3312/27316/10286/6428/3192/9939/5094/54883/7307/6434/2521/10921/6628/10949/3183/6429/51585/1665/5725/55696/84991/3190/3178/55660/4670/10569/10772/6625/10914/5093",31,"Reactome"
"R-HSA-1169410...51","MEturquoise","R-HSA-1169410","Antiviral mechanism by IFN-stimulated genes","18/702","78/9232",1.60699831336146e-05,0.000547225215128876,0.000427790963750793,"9775/7314/25820/7706/1974/1982/5903/3840/1977/7334/3838/3434/9818/4928/3716/8638/1981/7175",18,"Reactome"
"R-HSA-9646399","MEturquoise","R-HSA-9646399","Aggrephagy","12/702","39/9232",1.95761623552464e-05,0.000649527027889457,0.000507764966893166,"10383/3320/84617/7314/200894/7846/140735/1783/7334/7277/10013/7415",12,"Reactome"
"R-HSA-3371568","MEturquoise","R-HSA-3371568","Attenuation phase","7/702","14/9232",3.04895649116165e-05,0.000986337424890793,0.000771065049475354,"3337/3305/3303/3304/3326/3320/3312",7,"Reactome"
"R-HSA-9663891","MEturquoise","R-HSA-9663891","Selective autophagy","17/702","75/9232",3.52619084898783e-05,0.0011129002338025,0.00087000498225348,"10383/3320/84617/3312/7314/200894/65018/8878/81631/7846/140735/123/1783/7334/7277/10013/7415",17,"Reactome"
"R-HSA-448424","MEturquoise","R-HSA-448424","Interleukin-17 signaling","16/702","68/9232",3.65646150497085e-05,0.00112653837796007,0.000880666542926564,"5516/7314/3656/6196/4790/5515/5606/5519/3725/5599/9261/7334/1386/1848/5604/1846",16,"Reactome"
"R-HSA-72172...56","MEturquoise","R-HSA-72172","mRNA Splicing","31/702","190/9232",3.81789399591755e-05,0.00114891972807379,0.000898163067338254,"9775/3312/27316/10286/6428/3192/9939/5094/54883/7307/6434/2521/10921/6628/10949/3183/6429/51585/1665/5725/55696/84991/3190/3178/55660/4670/10569/10772/6625/10914/5093",31,"Reactome"
"R-HSA-372708","MEturquoise","R-HSA-372708","p130Cas linkage to MAPK signaling for integrins","7/702","15/9232",5.34275072192034e-05,0.00157125441685566,0.00122832139803001,"9564/7450/1398/2243/2244/5908/2266",7,"Reactome"
"R-HSA-446652...58","MEturquoise","R-HSA-446652","Interleukin-1 family signaling","25/702","142/9232",5.97747056764771e-05,0.00171885486989692,0.00134370741883262,"3552/351/7314/3656/5718/4791/4790/92610/9173/8878/5970/3554/5599/57162/5706/3553/5782/7334/3556/5717/6774/5700/5781/4792/5604",25,"Reactome"
"R-HSA-450282","MEturquoise","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","10/702","31/9232",6.17731084207244e-05,0.00172735180051629,0.00135034985788348,"5516/6196/5515/5519/3725/5599/9261/1386/1848/1846",10,"Reactome"
"R-HSA-1059683","MEturquoise","R-HSA-1059683","Interleukin-6 signaling","6/702","11/9232",6.27399803896954e-05,0.00172735180051629,0.00135034985788348,"3572/3569/9021/6774/3716/5781",6,"Reactome"
"R-HSA-6783783...61","MEturquoise","R-HSA-6783783","Interleukin-10 signaling","12/702","45/9232",9.42010088425496e-05,0.00253950219671373,0.00198524494512478,"3552/3383/2920/3569/3554/3553/6347/6774/3716/3576/7132/414062",12,"Reactome"
"R-HSA-5684996...62","MEturquoise","R-HSA-5684996","MAPK1/MAPK3 signaling","38/702","265/9232",0.000100228103648649,0.00259476041807943,0.00202844282256108,"2260/5516/7414/5155/200734/1847/7450/7314/3572/6464/5718/5500/3569/5515/5519/9693/2243/8682/5706/673/5717/2674/5290/8036/5501/5700/1848/3716/5781/80824/2244/8452/5604/1846/5908/1839/2266/2534",38,"Reactome"
"R-HSA-2559582","MEturquoise","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","13/702","52/9232",0.00010026122171868,0.00259476041807943,0.00202844282256108,"3552/1030/7314/6196/4790/1026/5970/3569/3725/996/1051/6774/3576",13,"Reactome"
"R-HSA-5218859","MEturquoise","R-HSA-5218859","Regulated Necrosis","13/702","54/9232",0.000151846472221367,0.00385273205989116,0.00301185675551566,"3552/3320/8795/329/7314/11140/3659/54205/581/57162/3553/51652/8837",13,"Reactome"
"R-HSA-9012999...65","MEturquoise","R-HSA-9012999","RHO GTPase cycle","54/702","434/9232",0.000192778648470972,0.0047972225215661,0.00375020812106486,"27289/23580/1969/10395/10979/3326/3320/23263/27/9414/57381/27316/90627/10435/51566/8874/10602/11140/10458/200894/5930/2697/9475/26286/394/10963/4649/9352/144402/6434/908/6510/9748/3183/9754/5337/1362/121512/9590/29766/4548/87/23075/9341/5879/613/5290/7204/10134/8452/58480/7879/7415/224",54,"Reactome"
"R-HSA-76009","MEturquoise","R-HSA-76009","Platelet Aggregation (Plug Formation)","10/702","36/9232",0.000249900455074605,0.00601016926917127,0.00469842403617798,"10411/9564/7450/6464/1398/2243/5770/2244/5908/2266",10,"Reactome"
"R-HSA-9705683...67","MEturquoise","R-HSA-9705683","SARS-CoV-2-host interactions","28/702","182/9232",0.000250810773211166,0.00601016926917127,0.00469842403617798,"7082/3326/3320/10000/7314/3656/2697/81631/7706/7532/5903/6628/7534/7334/3838/10802/9818/4928/7533/10484/3716/5781/10146/7555/3665/7405/7175/3454",28,"Reactome"
"R-HSA-9020702...68","MEturquoise","R-HSA-9020702","Interleukin-1 signaling","20/702","112/9232",0.000262891455424671,0.00618511896944589,0.00483519021364801,"3552/351/7314/3656/5718/4791/4790/92610/8878/5970/3554/57162/5706/3553/7334/3556/5717/5700/4792/5604",20,"Reactome"
"R-HSA-202733...69","MEturquoise","R-HSA-202733","Cell surface interactions at the vascular wall","21/702","121/9232",0.000280250519783166,0.00647578879641816,0.00506242010360193,"8793/7525/8795/6401/285/3678/6464/4312/3655/5175/6520/483/7056/4267/8140/2995/5290/5781/338/634/2534",21,"Reactome"
"R-HSA-6802957","MEturquoise","R-HSA-6802957","Oncogenic MAPK signaling","16/702","81/9232",0.000329452045971977,0.00747913942960945,0.0058467851556615,"7414/200734/7450/57670/5500/2243/673/56829/8036/5501/1848/80824/2244/5604/5908/2266",16,"Reactome"
"R-HSA-909733...71","MEturquoise","R-HSA-909733","Interferon alpha/beta signaling","13/702","59/9232",0.000389355023539156,0.00868664483551152,0.00679074732524735,"1958/3659/9021/10581/3434/5770/8519/3716/5781/8638/3669/3665/3454",13,"Reactome"
"R-HSA-5357801...72","MEturquoise","R-HSA-5357801","Programmed Cell Death","29/702","197/9232",0.000419397285785617,0.00919830657299303,0.00719073669295233,"3552/7082/3320/8795/9414/7159/329/10000/7314/5718/11140/3659/148022/54205/7532/140735/5599/581/57162/5706/3553/7534/51652/5717/6774/5700/7533/10134/8837",29,"Reactome"
"R-HSA-216083...73","MEturquoise","R-HSA-216083","Integrin cell surface interactions","16/702","83/9232",0.000439563753599736,0.00947992495263431,0.00741089065279555,"3386/3791/3383/3371/7450/3678/3680/3655/8515/3693/5175/1295/2243/2244/2266/7057",16,"Reactome"
"R-HSA-9705671","MEturquoise","R-HSA-9705671","SARS-CoV-2 activates/modulates innate and adaptive immune responses","19/702","108/9232",0.000451829922911796,0.00954501606440726,0.00746177535011419,"3326/3320/7314/3656/7706/5903/7334/3838/10802/9818/4928/10484/3716/5781/10146/7555/3665/7175/3454",19,"Reactome"
"R-HSA-110056","MEturquoise","R-HSA-110056","MAPK3 (ERK1) activation","5/702","10/9232",0.000457334618232805,0.00954501606440726,0.00746177535011419,"3572/3569/3716/5781/5604",5,"Reactome"
"R-HSA-9694516...76","MEturquoise","R-HSA-9694516","SARS-CoV-2 Infection","36/702","266/9232",0.000476479500541302,0.00972780308958959,0.0076046683227004,"7082/3326/3320/10000/7314/3656/2697/6484/256435/81631/7706/7532/5903/6628/1452/84061/7534/7334/51652/3838/7341/10802/9818/4928/7533/10484/3716/5781/10146/7555/59272/3665/7405/7175/7415/3454",36,"Reactome"
"R-HSA-9660826","MEturquoise","R-HSA-9660826","Purinergic signaling in leishmaniasis infection","8/702","26/9232",0.000488645441130853,0.00972780308958959,0.0076046683227004,"3552/351/3326/4791/4790/5970/3553/718",8,"Reactome"
"R-HSA-9664424","MEturquoise","R-HSA-9664424","Cell recruitment (pro-inflammatory response)","8/702","26/9232",0.000488645441130853,0.00972780308958959,0.0076046683227004,"3552/351/3326/4791/4790/5970/3553/718",8,"Reactome"
"R-HSA-9612973...79","MEturquoise","R-HSA-9612973","Autophagy","23/702","144/9232",0.000509506934367806,0.00998942383442336,0.00780918921734389,"10383/3326/3320/84617/3312/7314/200894/65018/51271/8878/81631/7846/9821/140735/123/1783/7334/51652/23710/7277/10013/7405/7415",23,"Reactome"
"R-HSA-168928","MEturquoise","R-HSA-168928","DDX58/IFIH1-mediated induction of interferon-alpha/beta","14/702","69/9232",0.000576510874559568,0.0111239226542669,0.00869607880155413,"351/3326/3320/7314/4791/4790/5970/7706/5094/7323/8887/10010/4792/3665",14,"Reactome"
"R-HSA-5673001...81","MEturquoise","R-HSA-5673001","RAF/MAP kinase cascade","35/702","259/9232",0.000584564714443701,0.0111239226542669,0.00869607880155413,"2260/5516/7414/5155/200734/1847/7450/7314/6464/5718/5500/5515/5519/9693/2243/8682/5706/673/5717/2674/5290/8036/5501/5700/1848/3716/80824/2244/8452/5604/1846/5908/1839/2266/2534",35,"Reactome"
"R-HSA-389513","MEturquoise","R-HSA-389513","CTLA4 inhibitory signaling","7/702","21/9232",0.000644372303747143,0.0119116823006972,0.00931190652482713,"5516/7525/10000/5515/5519/5781/2534",7,"Reactome"
"R-HSA-9613829...83","MEturquoise","R-HSA-9613829","Chaperone Mediated Autophagy","7/702","21/9232",0.000644372303747143,0.0119116823006972,0.00931190652482713,"3326/3320/3312/7314/200894/123/10013",7,"Reactome"
"R-HSA-9679506...84","MEturquoise","R-HSA-9679506","SARS-CoV Infections","44/702","352/9232",0.000678531539285852,0.0122404093960253,0.00956888752101218,"7082/3326/3320/4780/476/10000/7314/1901/3656/2697/9475/6484/256435/81631/7706/7532/5903/3554/6628/483/1452/84061/7534/7334/51652/51742/3838/7341/10802/9818/4928/7533/10484/3716/5781/8452/10146/7555/59272/3665/7405/7175/7415/3454",44,"Reactome"
"R-HSA-1632852","MEturquoise","R-HSA-1632852","Macroautophagy","21/702","129/9232",0.00068107378401377,0.0122404093960253,0.00956888752101218,"10383/3320/84617/3312/7314/200894/65018/8878/81631/7846/9821/140735/123/1783/7334/51652/23710/7277/10013/7405/7415",21,"Reactome"
"R-HSA-9609646","MEturquoise","R-HSA-9609646","HCMV Infection","17/702","95/9232",0.000725827290337834,0.0128660344342076,0.0100579672100167,"10383/84617/10155/4790/51271/5903/7846/140735/1783/51652/5371/9818/4928/3190/7277/7175/1052",17,"Reactome"
"R-HSA-8852135...87","MEturquoise","R-HSA-8852135","Protein ubiquitination","13/702","63/9232",0.000759339091579986,0.013042250604283,0.010195723444819,"54623/9781/8915/7314/7320/7323/7334/51322/9646/90268/55236/7415/7317",13,"Reactome"
"R-HSA-159236","MEturquoise","R-HSA-159236","Transport of Mature mRNA derived from an Intron-Containing Transcript","14/702","71/9232",0.000779065502503938,0.013042250604283,0.010195723444819,"9775/6428/9939/7307/5903/10921/6429/10482/9818/4928/84248/10569/9877/7175",14,"Reactome"
"R-HSA-1295596","MEturquoise","R-HSA-1295596","Spry regulation of FGF signaling","6/702","16/9232",0.000781173756863737,0.013042250604283,0.010195723444819,"5516/7314/5515/10253/673/5781",6,"Reactome"
"R-HSA-4755510","MEturquoise","R-HSA-4755510","SUMOylation of immune response proteins","5/702","11/9232",0.000786163483102065,0.013042250604283,0.010195723444819,"10210/4791/5970/7341/4792",5,"Reactome"
"R-HSA-9614399","MEturquoise","R-HSA-9614399","Regulation of localization of FOXO transcription factors","5/702","11/9232",0.000786163483102065,0.013042250604283,0.010195723444819,"10000/7532/2309/7534/2308",5,"Reactome"
"R-HSA-72202","MEturquoise","R-HSA-72202","Transport of Mature Transcript to Cytoplasm","15/702","80/9232",0.000889973163719175,0.0145775351120584,0.0113959255207745,"9775/6428/9939/7307/5903/10921/6429/10482/1977/9818/4928/84248/10569/9877/7175",15,"Reactome"
"R-HSA-199977...93","MEturquoise","R-HSA-199977","ER to Golgi Anterograde Transport","23/702","150/9232",0.000912942721912274,0.014766848526931,0.011543920470496,"10383/84617/2157/966/26286/23243/7846/378/140735/1453/2804/1783/1604/375/830/288/5861/10802/10484/7277/5265/55291/1314",23,"Reactome"
