"","column_label","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","source"
"R-HSA-76005...11","MEcyan","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","18/173","123/9834",3.79865905797801e-12,9.98011334323313e-11,6.97935444145241e-11,"1/197/213/2153/2243/2244/2266/3273/335/350/3699/3700/3827/5004/5005/5267/6694/7018",18,"Reactome"
"R-HSA-140875","MEcyan","R-HSA-140875","Common Pathway of Fibrin Clot Formation","8/173","21/9834",1.30653984994817e-09,3.14658347195852e-08,2.20048816833376e-08,"2153/2165/2243/2244/2266/3053/462/5624",8,"Reactome"
"R-HSA-194068...13","MEcyan","R-HSA-194068","Bile acid and bile salt metabolism","10/173","41/9834",1.53177135627975e-09,3.40524555357576e-08,2.38137733122035e-08,"10599/10998/1109/1581/213/28234/570/6554/6718/8647",10,"Reactome"
"R-HSA-159418","MEcyan","R-HSA-159418","Recycling of bile acids and salts","7/173","16/9834",4.62386878400191e-09,9.54498627554681e-08,6.67505869570201e-08,"10599/10998/213/28234/570/6554/8647",7,"Reactome"
"R-HSA-8963899","MEcyan","R-HSA-8963899","Plasma lipoprotein remodeling","8/173","27/9834",1.30263202558123e-08,2.50973770261984e-07,1.75512525551997e-07,"116519/213/26291/319/335/337/338/345",8,"Reactome"
"R-HSA-2142753","MEcyan","R-HSA-2142753","Arachidonic acid metabolism","10/173","54/9834",2.68427138052986e-08,4.84846518108207e-07,3.39065858593246e-07,"1543/1544/1557/1559/284541/2877/4051/5444/5446/8529",10,"Reactome"
"R-HSA-140837","MEcyan","R-HSA-140837","Intrinsic Pathway of Fibrin Clot Formation","7/173","21/9834",4.36318209841998e-08,7.41740956731397e-07,5.18718862474698e-07,"2158/2160/2161/3053/3827/462/5624",7,"Reactome"
"R-HSA-76002...18","MEcyan","R-HSA-76002","Platelet activation, signaling and aggregation","19/173","244/9834",5.12312114535549e-08,8.22545561670965e-07,5.75227637373248e-07,"1/197/213/2153/2243/2244/2266/3273/335/350/3699/3700/3827/5004/5005/51266/5267/6694/7018",19,"Reactome"
"R-HSA-174824","MEcyan","R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance","10/173","62/9834",1.06821152624049e-07,1.62480595307106e-06,1.13626932431121e-06,"116519/213/255738/26291/319/335/337/338/345/4547",10,"Reactome"
"R-HSA-211999...20","MEcyan","R-HSA-211999","CYP2E1 reactions","5/173","10/9834",3.7322105802281e-07,5.3930442884296e-06,3.77149700738839e-06,"1548/1549/1557/1559/1571",5,"Reactome"
"R-HSA-8957322...21","MEcyan","R-HSA-8957322","Metabolism of steroids","13/173","136/9834",7.27383514864448e-07,1.00101826569441e-05,7.00038269944731e-06,"10599/10998/1109/1581/213/28234/3294/570/57678/6554/6716/6718/8647",13,"Reactome"
"R-HSA-6806667...22","MEcyan","R-HSA-6806667","Metabolism of fat-soluble vitamins","8/173","45/9834",9.65580932839563e-07,1.26842222541197e-05,8.87040856962661e-06,"1109/335/337/338/345/5950/7274/7276",8,"Reactome"
"R-HSA-193368...23","MEcyan","R-HSA-193368","Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol","6/173","23/9834",2.14024298244695e-06,2.68926183446596e-05,1.88067117908382e-05,"10998/1109/1581/570/6718/8647",6,"Reactome"
"R-HSA-2173782...24","MEcyan","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","7/173","36/9834",2.5071296324826e-06,3.0190019324478e-05,2.11126705893272e-05,"213/259/3250/3263/335/338/55576",7,"Reactome"
"R-HSA-166786","MEcyan","R-HSA-166786","Creation of C4 and C2 activators","5/173","14/9834",2.80002532801605e-06,3.23682927918656e-05,2.26359942306982e-05,"10584/10747/1401/2220/4153",5,"Reactome"
"R-HSA-8963898","MEcyan","R-HSA-8963898","Plasma lipoprotein assembly","5/173","15/9834",4.14039288970174e-06,4.60220594278386e-05,3.21844305596249e-05,"335/337/338/345/4547",5,"Reactome"
"R-HSA-9018677...27","MEcyan","R-HSA-9018677","Biosynthesis of DHA-derived SPMs","5/173","16/9834",5.93689420040203e-06,6.35467564413403e-05,4.4439909804179e-05,"1543/1544/1559/1571/1576",5,"Reactome"
"R-HSA-975634...28","MEcyan","R-HSA-975634","Retinoid metabolism and transport","7/173","41/9834",6.27003242675439e-06,6.47156918332864e-05,4.52573769149189e-05,"1109/335/337/338/345/5950/7276",7,"Reactome"
"R-HSA-9018678...29","MEcyan","R-HSA-9018678","Biosynthesis of specialized proresolving mediators (SPMs)","5/173","18/9834",1.13173163810083e-05,0.000112782911521083,7.88720415663739e-05,"1543/1544/1559/1571/1576",5,"Reactome"
"R-HSA-192105...30","MEcyan","R-HSA-192105","Synthesis of bile acids and bile salts","6/173","32/9834",1.68469210020956e-05,0.000162292005653521,0.00011349504675096,"10998/1109/1581/570/6718/8647",6,"Reactome"
"R-HSA-159854","MEcyan","R-HSA-159854","Gamma-carboxylation, transport, and amino-terminal cleavage of proteins","4/173","10/9834",1.78871206677959e-05,0.000166754124935258,0.000116615523538771,"2155/2158/5624/8858",4,"Reactome"
"R-HSA-166663...32","MEcyan","R-HSA-166663","Initial triggering of complement","5/173","20/9834",1.99023186188322e-05,0.000179742815026328,0.000125698854434729,"10584/10747/1401/2220/4153",5,"Reactome"
"R-HSA-8978868...33","MEcyan","R-HSA-8978868","Fatty acid metabolism","12/173","160/9834",2.41730282179645e-05,0.000211697125908841,0.000148045340282271,"134526/1543/1544/1557/1559/284541/2877/4051/5444/5446/54898/8529",12,"Reactome"
"R-HSA-211958","MEcyan","R-HSA-211958","Miscellaneous substrates","4/173","12/9834",4.1014416871268e-05,0.000348622543405778,0.000243800868089271,"284541/4051/64816/8529",4,"Reactome"
"R-HSA-2187338","MEcyan","R-HSA-2187338","Visual phototransduction","9/173","96/9834",4.57339432651689e-05,0.000377631702960966,0.00026408773253872,"1109/335/337/338/345/5950/7276/8608/8630",9,"Reactome"
"R-HSA-189483","MEcyan","R-HSA-189483","Heme degradation","4/173","13/9834",5.8431510770761e-05,0.000469075183687498,0.000328036551695501,"10599/213/2168/28234",4,"Reactome"
"R-HSA-211935...37","MEcyan","R-HSA-211935","Fatty acids","4/173","14/9834",8.06841049478588e-05,0.00063020827918733,0.000440721142247195,"1549/284541/4051/8529",4,"Reactome"
"R-HSA-5686938...38","MEcyan","R-HSA-5686938","Regulation of TLR by endogenous ligand","4/173","18/9834",0.000233430688018715,0.00177530181151075,0.00124151501660923,"2243/2244/2266/338",4,"Reactome"
"R-HSA-5365859","MEcyan","R-HSA-5365859","RA biosynthesis pathway","4/173","21/9834",0.000438122767203832,0.00324660204415147,0.00227043377336399,"124/126/127/8608",4,"Reactome"
"R-HSA-2453902","MEcyan","R-HSA-2453902","The canonical retinoid cycle in rods (twilight vision)","4/173","23/9834",0.00063066633168413,0.00455656424641784,0.00318652462324613,"5950/7276/8608/8630",4,"Reactome"
"R-HSA-189445","MEcyan","R-HSA-189445","Metabolism of porphyrins","4/173","24/9834",0.000746492471236475,0.00526186156554491,0.00367975749621061,"10599/213/2168/28234",4,"Reactome"
"R-HSA-879518...42","MEcyan","R-HSA-879518","Transport of organic anions","3/173","11/9834",0.000795738076933712,0.00547543581509149,0.00382911555817726,"10599/213/28234",3,"Reactome"
"R-HSA-211979","MEcyan","R-HSA-211979","Eicosanoids","3/173","12/9834",0.00104731263028786,0.0068789397762089,0.00481062260802079,"284541/4051/8529",3,"Reactome"
"R-HSA-71384...44","MEcyan","R-HSA-71384","Ethanol oxidation","3/173","12/9834",0.00104731263028786,0.0068789397762089,0.00481062260802079,"124/126/127",3,"Reactome"
"R-HSA-156580...45","MEcyan","R-HSA-156580","Phase II - Conjugation of compounds","7/173","92/9834",0.00115213892657499,0.00739929221733715,0.00517451868777539,"10/1544/4143/6822/7365/7366/7367",7,"Reactome"
"R-HSA-977225...46","MEcyan","R-HSA-977225","Amyloid fiber formation","5/173","49/9834",0.00162156950304717,0.00995877121711455,0.00696442933413219,"2243/325/335/337/7276",5,"Reactome"
"R-HSA-193775...47","MEcyan","R-HSA-193775","Synthesis of bile acids and bile salts via 24-hydroxycholesterol","3/173","14/9834",0.00168851138283257,0.00995877121711455,0.00696442933413219,"10998/1109/6718",3,"Reactome"
"R-HSA-9651496","MEcyan","R-HSA-9651496","Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)","3/173","14/9834",0.00168851138283257,0.00995877121711455,0.00696442933413219,"2158/2160/2161",3,"Reactome"
"R-HSA-9671793","MEcyan","R-HSA-9671793","Diseases of hemostasis","3/173","14/9834",0.00168851138283257,0.00995877121711455,0.00696442933413219,"2158/2160/2161",3,"Reactome"
"R-HSA-193807...50","MEcyan","R-HSA-193807","Synthesis of bile acids and bile salts via 27-hydroxycholesterol","3/173","15/9834",0.00208350968302573,0.0113610244980082,0.00794506175056486,"1109/1581/6718",3,"Reactome"
"R-HSA-354194...51","MEcyan","R-HSA-354194","GRB2:SOS provides linkage to MAPK signaling for Integrins ","3/173","15/9834",0.00208350968302573,0.0113610244980082,0.00794506175056486,"2243/2244/2266",3,"Reactome"
"R-HSA-372708","MEcyan","R-HSA-372708","p130Cas linkage to MAPK signaling for integrins","3/173","15/9834",0.00208350968302573,0.0113610244980082,0.00794506175056486,"2243/2244/2266",3,"Reactome"
"R-HSA-5602498...53","MEcyan","R-HSA-5602498","MyD88 deficiency (TLR2/4)","3/173","15/9834",0.00208350968302573,0.0113610244980082,0.00794506175056486,"2243/2244/2266",3,"Reactome"
"R-HSA-5603041...54","MEcyan","R-HSA-5603041","IRAK4 deficiency (TLR2/4)","3/173","16/9834",0.0025313860841825,0.0133012832423408,0.00930193546723523,"2243/2244/2266",3,"Reactome"
"R-HSA-8963889","MEcyan","R-HSA-8963889","Assembly of active LPL and LIPC lipase complexes","3/173","16/9834",0.0025313860841825,0.0133012832423408,0.00930193546723523,"116519/26291/337",3,"Reactome"
"R-HSA-1369062","MEcyan","R-HSA-1369062","ABC transporters in lipid homeostasis","3/173","17/9834",0.00303438192486701,0.0153848487067819,0.0107590273236282,"335/64240/64241",3,"Reactome"
"R-HSA-156588","MEcyan","R-HSA-156588","Glucuronidation","3/173","17/9834",0.00303438192486701,0.0153848487067819,0.0107590273236282,"7365/7366/7367",3,"Reactome"
"R-HSA-2142691...58","MEcyan","R-HSA-2142691","Synthesis of Leukotrienes (LT) and Eoxins (EX)","3/173","18/9834",0.00359457217223667,0.0177384616665822,0.0124049704606949,"284541/4051/8529",3,"Reactome"
"R-HSA-425407...59","MEcyan","R-HSA-425407","SLC-mediated transmembrane transport","11/173","242/9834",0.00362134684542681,0.0177384616665822,0.0124049704606949,"10599/10991/213/26291/28234/284111/55089/55532/6506/6580/83733",11,"Reactome"
"R-HSA-196854...60","MEcyan","R-HSA-196854","Metabolism of vitamins and cofactors","9/173","176/9834",0.00386614627861626,0.018405252406058,0.0128712746747883,"1109/335/337/338/345/5646/5950/7274/7276",9,"Reactome"
"R-HSA-8979227","MEcyan","R-HSA-8979227","Triglyceride metabolism","4/173","37/9834",0.00388484566356242,0.018405252406058,0.0128712746747883,"2168/2169/57678/80168",4,"Reactome"
"R-HSA-163841","MEcyan","R-HSA-163841","Gamma carboxylation, hypusine formation and arylsulfatase activation","4/173","40/9834",0.00516078514795288,0.0240559178670707,0.016822932910135,"2155/2158/5624/8858",4,"Reactome"
"R-HSA-5362517","MEcyan","R-HSA-5362517","Signaling by Retinoic Acid","4/173","41/9834",0.00564155982887753,0.0258795363578668,0.0180982370450207,"124/126/127/8608",4,"Reactome"
"R-HSA-1614635...64","MEcyan","R-HSA-1614635","Sulfur amino acid metabolism","3/173","24/9834",0.00825358364047451,0.0372700886265177,0.0260639483383406,"1036/4143/875",3,"Reactome"
"hsa04610","MEcyan","hsa04610","Complement and coagulation cascades","28/135","78/7099",1.9817149152353e-29,2.77440088132941e-27,2.16945632825759e-27,"10747/10877/10878/1361/2153/2155/2158/2160/2161/2165/2243/2244/2266/3053/3078/3080/3827/4153/462/5624/725/727/731/732/733/735/7448/81494",28,"KEGG"
"hsa05204","MEcyan","hsa05204","Chemical carcinogenesis - DNA adducts","15/135","54/7099",3.22585635605583e-14,2.0369662924806e-12,1.59281574750363e-12,"10/1543/1544/1548/1549/1557/1559/1562/1571/1576/64816/6822/7365/7366/7367",15,"KEGG"
"hsa00830...67","MEcyan","hsa00830","Retinol metabolism","15/135","55/7099",4.36492776960129e-14,2.0369662924806e-12,1.59281574750363e-12,"124/126/127/1543/1544/1548/1549/1559/1562/1576/7365/7366/7367/8608/8630",15,"KEGG"
"hsa00982...68","MEcyan","hsa00982","Drug metabolism - cytochrome P450","14/135","58/7099",2.037947284308e-12,7.13281549507799e-11,5.57753993600084e-11,"124/126/127/1544/1548/1549/1557/1559/1571/1576/2330/7365/7366/7367",14,"KEGG"
"hsa00140...69","MEcyan","hsa00140","Steroid hormone biosynthesis","13/135","51/7099",6.11145278837643e-12,1.61713656649864e-10,1.26452784147262e-10,"1109/1543/1544/1571/1576/1581/3294/6716/6718/7365/7366/7367/8630",13,"KEGG"
"hsa00980...70","MEcyan","hsa00980","Metabolism of xenobiotics by cytochrome P450","14/135","63/7099",6.93058528499416e-12,1.61713656649864e-10,1.26452784147262e-10,"124/126/127/1543/1544/1548/1549/1559/1571/1576/6822/7365/7366/7367",14,"KEGG"
"hsa04976...71","MEcyan","hsa04976","Bile secretion","15/135","79/7099",1.34503304564903e-11,2.69006609129806e-10,2.10351032703006e-10,"10599/10998/1576/1581/28234/570/64240/64241/6554/6580/6822/7365/7366/7367/8647",15,"KEGG"
"hsa04979","MEcyan","hsa04979","Cholesterol metabolism","11/135","44/7099",3.50894249120158e-10,6.14064935960276e-09,4.80171077743374e-09,"1581/255738/335/337/338/345/350/4018/64240/64241/8647",11,"KEGG"
"hsa04975...73","MEcyan","hsa04975","Fat digestion and absorption","10/135","36/7099",7.38821060842857e-10,1.14927720575556e-08,8.98682927808855e-09,"2168/2169/335/337/338/4547/5322/64240/64241/80168",10,"KEGG"
"hsa00591","MEcyan","hsa00591","Linoleic acid metabolism","6/135","26/7099",7.12501580507239e-06,9.97502212710135e-05,7.80001730239504e-05,"1544/1557/1559/1571/1576/5322",6,"KEGG"
"hsa00120","MEcyan","hsa00120","Primary bile acid biosynthesis","5/135","16/7099",8.52410554595853e-06,0.000108488616039472,8.48332035195873e-05,"10998/1109/1581/570/6718",5,"KEGG"
"hsa00983","MEcyan","hsa00983","Drug metabolism - other enzymes","8/135","66/7099",3.1548586636705e-05,0.000368066844094892,0.000287811667562923,"10/1548/1549/1571/1576/7365/7366/7367",8,"KEGG"
"hsa03320...77","MEcyan","hsa03320","PPAR signaling pathway","8/135","69/7099",4.37813340648247e-05,0.000471491289928881,0.000368684918440629,"10998/116519/1581/2168/2169/335/345/440503",8,"KEGG"
"hsa00590","MEcyan","hsa00590","Arachidonic acid metabolism","7/135","54/7099",6.47058129558091e-05,0.000647058129558091,0.000505970266722116,"1557/1559/1571/2877/4051/5322/8529",7,"KEGG"
"hsa05322...79","MEcyan","hsa05322","Systemic lupus erythematosus","5/135","43/7099",0.00124411977022972,0.011611784522144,0.00907989165641336,"727/731/732/733/735",5,"KEGG"
"hsa05171...80","MEcyan","hsa05171","Coronavirus disease - COVID-19","11/135","201/7099",0.00148559018956715,0.0129989141587125,0.0101645644549331,"10747/2165/2243/2244/2266/4153/727/731/732/733/735",11,"KEGG"
"hsa04918","MEcyan","hsa04918","Thyroid hormone synthesis","6/135","71/7099",0.00220096678371128,0.0181256088070341,0.0141734083904627,"213/2877/432/433/6906/7276",6,"KEGG"
"hsa00430","MEcyan","hsa00430","Taurine and hypotaurine metabolism","3/135","15/7099",0.00258829947714997,0.0201312181556109,0.0157417044224326,"1036/2330/570",3,"KEGG"
"hsa00220","MEcyan","hsa00220","Arginine biosynthesis","3/135","17/7099",0.00376217758931519,0.0277213085528487,0.0216768127029795,"1373/27165/5009",3,"KEGG"
"hsa04977","MEcyan","hsa04977","Vitamin digestion and absorption","3/135","21/7099",0.00696147532196892,0.0487303272537824,0.0381049175518299,"335/337/338",3,"KEGG"
"GO:0016712...85","MEcyan","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","13/206","40/18368",2.79751305372385e-16,1.11341019538209e-13,7.7152465271121e-14,"1543/1544/1548/1549/1557/1559/1562/1571/1576/1581/4051/64816/8529",13,"GO"
"GO:0070330...86","MEcyan","GO:0070330","aromatase activity","11/206","25/18368",1.04900951785207e-15,1.99016348485017e-13,1.37906065334765e-13,"1543/1544/1549/1557/1559/1562/1571/1576/4051/64816/8529",11,"GO"
"GO:0004497...87","MEcyan","GO:0004497","monooxygenase activity","17/206","102/18368",1.50012322978656e-15,1.99016348485017e-13,1.37906065334765e-13,"1109/1543/1544/1548/1549/1557/1559/1562/1571/1576/1581/2330/284541/4051/64816/6718/8529",17,"GO"
"GO:0008391...88","MEcyan","GO:0008391","arachidonic acid monooxygenase activity","10/206","21/18368",8.00927536074848e-15,7.63902337615582e-13,5.29337245319446e-13,"1543/1548/1549/1557/1559/1562/1571/284541/4051/8529",10,"GO"
"GO:0005319","MEcyan","GO:0005319","lipid transporter activity","19/206","154/18368",9.59676303537163e-15,7.63902337615582e-13,5.29337245319446e-13,"10599/10877/10998/1109/114571/2168/28234/319/335/337/338/338821/4547/5950/64240/64241/6554/7274/8647",19,"GO"
"GO:0004866...90","MEcyan","GO:0004866","endopeptidase inhibitor activity","19/206","180/18368",1.71571292998824e-13,1.1380895768922e-11,7.88625943257753e-12,"197/256394/259/26998/3053/3273/3697/3698/3699/3700/3827/4018/462/51156/5267/5858/6694/6906/727",19,"GO"
"GO:0008395...91","MEcyan","GO:0008395","steroid hydroxylase activity","11/206","38/18368",2.49376890558282e-13,1.41788574917423e-11,9.82507448515338e-12,"1543/1544/1548/1549/1557/1559/1562/1571/1576/1581/64816",11,"GO"
"GO:0020037...92","MEcyan","GO:0020037","heme binding","17/206","139/18368",2.97895636633642e-13,1.48203079225237e-11,1.02695601050019e-11,"1543/1544/1548/1549/1557/1559/1562/1571/1576/1581/259/284541/3273/4051/64816/8529/875",17,"GO"
"GO:0030414...93","MEcyan","GO:0030414","peptidase inhibitor activity","19/206","187/18368",3.43657184324673e-13,1.51972843734689e-11,1.05307815547444e-11,"197/256394/259/26998/3053/3273/3697/3698/3699/3700/3827/4018/462/51156/5267/5858/6694/6906/727",19,"GO"
"GO:0061135...94","MEcyan","GO:0061135","endopeptidase regulator activity","19/206","194/18368",6.68334433089592e-13,2.65997104369657e-11,1.84319601546814e-11,"197/256394/259/26998/3053/3273/3697/3698/3699/3700/3827/4018/462/51156/5267/5858/6694/6906/727",19,"GO"
"GO:0046906...95","MEcyan","GO:0046906","tetrapyrrole binding","17/206","149/18368",9.44782037468342e-13,3.41839319011273e-11,2.36873582599718e-11,"1543/1544/1548/1549/1557/1559/1562/1571/1576/1581/259/284541/3273/4051/64816/8529/875",17,"GO"
"GO:0016709...96","MEcyan","GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","11/206","43/18368",1.1351614663099e-12,3.76495219659449e-11,2.60887986116836e-11,"1109/1543/1557/1559/1571/1576/1581/2330/284541/6718/8529",11,"GO"
"GO:0016705...97","MEcyan","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","17/206","170/18368",8.16694452651054e-12,2.5003414781163e-10,1.73258256351884e-10,"1109/1543/1544/1548/1549/1557/1559/1562/1571/1576/1581/2330/284541/4051/64816/6718/8529",17,"GO"
"GO:0061134...98","MEcyan","GO:0061134","peptidase regulator activity","19/206","230/18368",1.38173809722424e-11,3.75544797523337e-10,2.60229402145237e-10,"197/256394/259/26998/3053/3273/3697/3698/3699/3700/3827/4018/462/51156/5267/5858/6694/6906/727",19,"GO"
"GO:0005506...99","MEcyan","GO:0005506","iron ion binding","16/206","151/18368",1.41536983991207e-11,3.75544797523337e-10,2.60229402145237e-10,"1036/1543/1544/1548/1549/1557/1559/1562/1571/1576/1581/284541/4051/64816/7018/8529",16,"GO"
"GO:0004867...100","MEcyan","GO:0004867","serine-type endopeptidase inhibitor activity","13/206","98/18368",7.07214485861791e-11,1.75919603358121e-09,1.21901444273546e-09,"256394/259/3053/3273/3697/3698/3699/3700/462/51156/5267/5858/6906",13,"GO"
"GO:0008392...101","MEcyan","GO:0008392","arachidonic acid epoxygenase activity","7/206","17/18368",3.5636922151168e-10,8.34323236244991e-09,5.78134588458576e-09,"1548/1549/1557/1559/1562/1571/8529",7,"GO"
"GO:0016614...102","MEcyan","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","14/206","136/18368",4.08943558444564e-10,9.04219645894091e-09,6.26568493055414e-09,"1109/124/126/127/284541/3294/345275/4051/54363/6716/6718/8529/8608/8630",14,"GO"
"GO:0019825...103","MEcyan","GO:0019825","oxygen binding","8/206","39/18368",9.97359478801378e-09,2.08920564506815e-07,1.44769076701364e-07,"1543/1549/1557/1562/1571/1576/213/875",8,"GO"
"GO:0046943...104","MEcyan","GO:0046943","carboxylic acid transmembrane transporter activity","13/206","163/18368",3.91949751339028e-08,7.79980005164666e-07,5.40478078162239e-07,"10599/10991/10998/1109/114571/28234/284111/338821/55089/6506/6554/83733/8647",13,"GO"
"GO:0005342...105","MEcyan","GO:0005342","organic acid transmembrane transporter activity","13/206","164/18368",4.21540625208545e-08,7.97563474080683e-07,5.5266233855895e-07,"10599/10991/10998/1109/114571/28234/284111/338821/55089/6506/6554/83733/8647",13,"GO"
"GO:0017171...106","MEcyan","GO:0017171","serine hydrolase activity","14/206","195/18368",4.40864231903895e-08,7.97563474080683e-07,5.5266233855895e-07,"10747/13/164656/2155/2158/2160/2161/255738/3083/3250/4018/5624/5646/8858",14,"GO"
"GO:0005539...107","MEcyan","GO:0005539","glycosaminoglycan binding","15/206","230/18368",5.16767527304554e-08,8.90858142163951e-07,6.17309794358517e-07,"114770/116519/2160/3053/3273/338/350/3827/4018/462/51156/55576/64388/653808/7448",15,"GO"
"GO:1901681...108","MEcyan","GO:1901681","sulfur compound binding","16/206","265/18368",5.37200889747106e-08,8.90858142163951e-07,6.17309794358517e-07,"116519/134526/2160/27232/3053/3273/338/350/3827/4018/462/51156/64388/6822/7448/875",16,"GO"
"GO:0016229","MEcyan","GO:0016229","steroid dehydrogenase activity","7/206","34/18368",8.38612807423176e-08,1.286083993142e-06,8.91176953724424e-07,"1109/3294/345275/6716/6718/8608/8630",7,"GO"
"GO:0004252...110","MEcyan","GO:0004252","serine-type endopeptidase activity","13/206","174/18368",8.49034061427932e-08,1.286083993142e-06,8.91176953724424e-07,"10747/164656/2155/2158/2160/2161/255738/3083/3250/4018/5624/5646/8858",13,"GO"
"GO:0015125...111","MEcyan","GO:0015125","bile acid transmembrane transporter activity","6/206","21/18368",8.72469040573721e-08,1.286083993142e-06,8.91176953724424e-07,"10599/1109/28234/338821/6554/8647",6,"GO"
"GO:0120020...112","MEcyan","GO:0120020","cholesterol transfer activity","6/206","22/18368",1.18847043433636e-07,1.68932583166383e-06,1.17059869848168e-06,"335/337/338/4547/64240/64241",6,"GO"
"GO:1901618...113","MEcyan","GO:1901618","organic hydroxy compound transmembrane transporter activity","8/206","53/18368",1.25603896554431e-07,1.72380520098839e-06,1.19449077667009e-06,"10599/1109/28234/338821/5950/6554/6580/8647",8,"GO"
"GO:0016616...114","MEcyan","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","11/206","124/18368",1.51271614602422e-07,2.0068700870588e-06,1.39063729915209e-06,"1109/124/126/127/284541/3294/345275/6716/6718/8608/8630",11,"GO"
"GO:0120015...115","MEcyan","GO:0120015","sterol transfer activity","6/206","23/18368",1.5929552985054e-07,2.04514906066178e-06,1.41716226895897e-06,"335/337/338/4547/64240/64241",6,"GO"
"GO:0008236...116","MEcyan","GO:0008236","serine-type peptidase activity","13/206","191/18368",2.51776812673949e-07,3.12260059416213e-06,2.16376978489944e-06,"10747/164656/2155/2158/2160/2161/255738/3083/3250/4018/5624/5646/8858",13,"GO"
"GO:0008028...117","MEcyan","GO:0008028","monocarboxylic acid transmembrane transporter activity","8/206","58/18368",2.5890909449083e-07,3.12260059416213e-06,2.16376978489944e-06,"10599/10998/1109/114571/28234/338821/6554/8647",8,"GO"
"GO:0008201...118","MEcyan","GO:0008201","heparin binding","12/206","166/18368",3.85945499416912e-07,4.5178326108215e-06,3.13057959279353e-06,"116519/2160/3053/3273/338/350/3827/4018/462/51156/64388/7448",12,"GO"
"GO:0070325","MEcyan","GO:0070325","lipoprotein particle receptor binding","6/206","28/18368",5.67339362137732e-07,6.45145903230907e-06,4.47046354526574e-06,"116519/1401/255738/335/338/345",6,"GO"
